AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5,PCP_PC,PCP_PO,PCP_NP,PCP_CY,PCP_AR,PCP_BS,PCP_HB,PCP_HL,PCP_SC,PCP_SM,PCP_LR,DDR_A,DDR_C,DDR_D,DDR_E,DDR_F,DDR_G,DDR_H,DDR_I,DDR_K,DDR_L,DDR_M,DDR_N,DDR_P,DDR_Q,DDR_R,DDR_S,DDR_T,DDR_V,DDR_W,DDR_Y,RRI_A,RRI_C,RRI_D,RRI_E,RRI_F,RRI_G,RRI_H,RRI_I,RRI_K,RRI_L,RRI_M,RRI_N,RRI_P,RRI_Q,RRI_R,RRI_S,RRI_T,RRI_V,RRI_W,RRI_Y,Class
8.25,1.98,4.95,6.6,1.32,6.27,3.96,7.92,2.31,11.22,2.31,5.28,4.62,4.95,5.94,3.96,6.93,6.93,2.31,1.98,0.004,-0.546,-0.347,-0.4,0.108,0.122,0.198,0.512,0.046,0.056,0.122,0.538,0.221,0.043,0.492,0.508,18.22,160.6,29.56,22.28,34.97,16.35,79.44,31.38,77.64,21.16,50.92,72.58,43.42,50.37,19.78,44.29,30.49,19.33,131.75,101.93,1.16,1.0,1.31,1.09,1.0,1.12,1.2,1.0,1.0,1.12,1.0,1.0,1.11,1.0,1.33,1.0,1.0,1.07,1.0,1.0,nonDRNA
10.35,0.54,7.08,6.27,3.54,8.99,2.72,5.45,2.18,8.99,3.81,1.63,4.9,2.45,8.17,4.9,7.36,8.17,0.54,1.91,0.14,-0.715,-0.329,-0.411,0.202,0.131,0.172,0.548,0.049,0.06,0.131,0.537,0.196,0.044,0.54,0.46,18.99,100.76,20.48,31.86,59.16,21.79,64.04,23.3,52.74,23.11,80.04,39.38,28.43,46.41,34.69,42.9,29.95,19.9,60.88,29.49,1.28,1.0,1.0,1.0,1.12,1.13,1.12,1.0,1.0,1.12,1.0,1.0,1.0,1.14,1.19,1.0,1.36,1.07,1.0,1.0,nonDRNA
8.96,1.24,6.47,5.22,3.98,7.46,4.23,6.97,5.22,7.96,1.99,3.23,5.22,3.48,5.22,3.73,5.47,6.97,2.24,4.73,-0.019,-0.405,-0.255,-0.258,0.115,0.147,0.187,0.517,0.052,0.109,0.147,0.51,0.231,0.032,0.488,0.512,17.15,157.67,20.75,25.26,52.92,18.88,57.61,25.28,23.12,30.1,55.41,68.17,44.08,49.18,32.05,124.18,47.43,17.15,159.59,48.02,1.15,1.0,1.12,1.14,1.14,1.16,1.0,1.14,1.07,1.15,1.12,1.22,1.0,1.0,1.09,1.0,1.09,1.0,1.0,1.0,nonDRNA
9.93,1.69,7.99,7.02,3.39,9.2,1.69,7.02,6.78,6.54,4.12,4.36,3.15,2.91,5.57,1.45,5.33,8.47,0.48,2.91,0.235,-0.629,-0.316,-0.445,0.065,0.14,0.143,0.523,0.031,0.068,0.14,0.501,0.215,0.058,0.516,0.484,16.2,76.31,35.17,36.98,42.14,30.8,52.87,26.99,81.18,39.61,130.49,23.65,52.23,29.0,24.59,20.49,35.51,31.62,128.18,38.56,1.18,1.0,1.0,1.3,1.0,1.2,1.0,1.17,1.18,1.1,1.33,1.0,1.22,1.0,1.11,1.09,1.0,1.22,1.0,1.1,nonDRNA
10.62,2.19,5.0,6.25,3.75,6.25,2.5,7.5,3.44,6.25,1.88,7.19,2.81,5.0,5.62,6.88,3.44,5.62,1.25,6.56,0.216,-0.335,-0.148,-0.444,0.0,0.116,0.241,0.459,0.028,0.116,0.116,0.453,0.216,0.041,0.5,0.5,15.58,0.0,28.41,17.23,37.81,19.27,60.09,47.83,31.11,24.35,69.01,77.32,36.65,44.51,20.93,34.88,42.52,17.96,99.41,32.43,1.04,0.0,1.0,1.34,1.14,1.28,1.0,1.1,1.0,1.18,1.22,1.0,1.11,1.0,1.07,1.0,1.0,1.06,1.0,1.19,nonDRNA
11.25,0.0,4.75,10.25,3.5,9.0,2.25,5.0,5.25,8.5,2.25,1.5,4.75,2.75,7.5,3.5,3.25,8.25,1.25,5.25,0.111,-0.509,-0.401,-0.385,0.169,0.15,0.148,0.538,0.048,0.1,0.15,0.48,0.212,0.022,0.462,0.538,67.71,483.49,28.59,27.63,19.84,34.27,72.2,39.21,21.94,21.83,92.47,30.04,41.6,42.8,40.38,56.23,26.51,33.25,174.33,22.29,1.18,1.0,1.0,1.26,1.2,1.06,1.0,1.12,1.08,1.11,1.0,1.04,1.16,1.0,1.08,1.08,1.1,1.24,1.33,1.28,nonDRNA
4.69,0.28,5.82,6.68,8.66,4.4,2.7,4.69,7.24,7.53,1.7,6.39,5.4,3.84,3.41,3.69,5.68,7.1,0.85,9.23,-0.175,0.012,-0.201,-0.37,-0.031,0.134,0.227,0.45,0.054,0.188,0.134,0.466,0.251,0.02,0.435,0.565,31.15,56.06,37.72,14.73,64.6,17.54,128.31,11.19,15.72,50.05,43.46,44.29,53.6,77.3,34.93,81.32,43.78,29.07,0.0,44.96,1.33,1.0,1.0,1.3,1.29,1.07,1.0,1.16,1.28,1.0,1.22,1.14,1.0,1.0,1.0,1.0,1.14,1.27,0.0,1.0,nonDRNA
6.02,2.34,4.35,11.04,4.68,9.7,0.67,12.71,12.04,4.01,3.01,4.68,2.34,2.01,4.35,1.67,4.68,7.36,0.0,2.34,0.209,-0.627,-0.507,-0.504,-0.036,0.171,0.13,0.498,0.023,0.07,0.171,0.472,0.241,0.054,0.431,0.569,28.9,44.71,21.13,13.24,42.04,15.97,0.0,19.19,31.13,21.95,33.96,33.25,50.29,101.33,76.85,27.22,31.25,20.76,64.55,59.21,1.0,1.0,1.0,1.32,1.0,1.0,0.0,1.13,1.4,1.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6,1.0,1.0,nonDRNA
4.35,2.17,6.52,13.77,3.62,10.14,0.0,10.87,7.25,5.8,3.62,5.8,2.17,1.45,1.45,5.8,3.62,7.25,2.17,2.17,0.208,-0.64,-0.178,-0.761,-0.07,0.087,0.152,0.5,0.022,0.08,0.087,0.457,0.167,0.058,0.478,0.522,21.43,48.41,32.39,31.9,31.53,43.41,75.64,31.48,20.62,17.07,45.85,27.9,54.06,66.02,27.45,20.27,39.51,11.98,0.0,37.07,1.0,1.0,1.0,1.0,1.0,1.25,1.0,1.0,1.0,1.0,1.0,1.22,1.33,1.0,1.18,1.0,1.33,1.11,0.0,1.0,nonDRNA
6.88,3.75,3.12,5.62,4.38,5.0,2.5,5.0,6.25,8.75,2.5,5.62,3.75,1.88,6.88,8.75,3.75,11.88,0.0,3.75,0.048,-0.513,-0.303,-0.337,0.008,0.156,0.219,0.481,0.038,0.081,0.156,0.506,0.25,0.062,0.525,0.475,28.03,99.92,26.12,24.32,41.43,45.03,46.99,22.62,42.19,13.32,112.5,27.65,39.56,18.9,32.44,30.3,30.17,23.64,70.41,40.99,1.62,1.0,1.17,1.46,1.25,1.25,1.0,1.15,1.17,1.12,1.0,1.0,1.0,1.27,1.17,1.0,1.0,1.17,1.0,1.0,nonDRNA
6.91,0.53,6.38,6.91,4.26,4.26,2.13,6.91,6.38,9.04,1.6,5.32,3.19,7.98,6.38,4.26,5.32,6.38,1.06,4.79,0.177,-0.202,-0.468,-0.473,0.103,0.149,0.229,0.436,0.032,0.101,0.149,0.452,0.234,0.021,0.426,0.574,24.88,0.0,25.62,18.64,37.39,28.63,46.11,25.65,21.17,14.63,125.23,19.26,38.72,56.71,28.81,51.53,39.24,22.14,232.78,42.24,1.1,0.0,1.0,1.14,1.12,1.1,1.0,1.0,1.22,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.14,1.11,1.0,1.0,nonDRNA
6.77,0.0,7.1,9.03,5.48,6.45,2.58,7.42,8.71,10.0,0.97,6.77,4.19,2.26,4.52,3.87,4.52,5.81,0.32,3.23,0.215,-0.312,-0.355,-0.513,0.12,0.158,0.139,0.474,0.042,0.09,0.158,0.455,0.268,0.01,0.455,0.545,30.06,92.53,13.28,24.16,31.8,39.37,44.94,87.03,8.6,24.1,31.38,44.62,70.5,44.3,37.3,58.33,45.64,38.23,0.0,59.93,1.0,1.0,1.36,1.0,1.0,1.0,1.14,1.0,1.39,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.29,0.0,1.0,nonDRNA
8.55,0.66,14.47,5.92,3.29,3.95,9.21,1.32,20.39,6.58,4.61,1.97,1.32,1.97,2.63,3.95,3.29,4.61,0.0,1.32,1.091,-0.005,-0.318,0.003,0.233,0.322,0.112,0.342,0.013,0.046,0.322,0.342,0.355,0.053,0.428,0.572,21.35,103.26,25.61,39.97,39.68,21.09,38.93,42.97,48.41,16.27,41.4,55.94,27.32,49.12,24.47,23.71,29.89,28.58,186.43,53.6,1.32,1.0,1.11,1.17,1.0,1.0,1.18,1.29,1.25,1.21,1.15,1.0,1.0,1.14,1.0,1.14,1.0,1.22,1.0,1.0,nonDRNA
11.74,1.52,7.2,4.55,3.41,6.06,4.17,5.3,3.03,10.98,4.92,2.65,4.17,5.3,6.06,5.3,3.79,6.82,0.76,2.27,0.01,-0.538,-0.234,-0.292,0.221,0.133,0.182,0.542,0.042,0.064,0.133,0.534,0.201,0.064,0.492,0.508,17.72,0.0,31.53,19.52,34.27,25.33,38.88,14.44,26.64,37.12,26.82,27.25,27.46,23.5,58.95,18.32,14.48,16.68,56.01,0.0,1.22,0.0,1.0,1.0,1.0,1.0,2.6,1.0,1.44,1.33,1.0,1.0,1.0,1.22,1.0,1.0,1.0,1.22,1.0,0.0,nonDRNA
8.18,0.0,3.64,5.45,5.45,4.55,4.55,8.18,8.18,5.45,5.45,4.55,3.64,8.18,0.91,6.36,8.18,8.18,0.91,0.0,0.005,-0.563,-0.375,-0.342,0.158,0.136,0.227,0.5,0.036,0.064,0.136,0.536,0.218,0.055,0.473,0.527,33.27,97.9,21.55,21.68,52.44,35.63,56.5,17.99,25.73,24.93,64.13,33.66,45.62,53.2,31.11,34.14,57.06,20.07,71.8,33.86,1.06,1.0,1.14,1.22,1.0,1.2,1.0,1.05,1.22,1.24,1.12,1.07,1.1,1.0,1.15,1.28,1.0,1.0,1.0,1.08,nonDRNA
6.16,1.39,8.35,7.16,2.78,5.96,2.78,8.35,7.16,6.76,3.18,5.77,3.98,1.99,5.17,5.77,3.18,7.16,2.19,4.77,0.2,-0.254,-0.229,-0.377,0.031,0.151,0.171,0.465,0.04,0.097,0.151,0.451,0.249,0.046,0.477,0.523,36.02,50.22,29.85,32.44,52.07,67.36,65.18,23.59,32.06,19.54,147.91,48.07,64.03,36.98,38.13,28.39,25.49,28.86,155.43,46.46,1.06,1.0,1.15,1.2,1.07,1.0,1.12,1.05,1.19,1.22,1.0,1.17,1.31,1.0,1.07,1.11,1.19,1.09,1.0,1.15,nonDRNA
5.5,2.91,6.47,6.63,4.53,3.56,2.59,6.15,6.8,10.19,1.78,3.88,5.18,4.37,4.53,5.99,6.8,6.96,0.97,4.21,0.01,-0.33,-0.268,-0.44,0.089,0.139,0.243,0.448,0.052,0.097,0.139,0.51,0.23,0.047,0.472,0.528,37.1,0.0,32.52,9.68,27.69,15.43,66.04,18.72,8.59,22.75,69.85,81.4,32.01,0.0,36.2,47.33,32.95,21.61,27.59,38.04,1.0,0.0,1.0,1.21,1.25,1.18,1.0,1.0,1.16,1.36,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.29,nonDRNA
3.73,0.0,2.99,14.18,5.97,8.21,0.75,5.97,18.66,8.21,1.49,1.49,5.22,0.0,2.24,2.99,3.73,5.97,2.99,5.22,0.024,-0.204,-0.549,-0.296,0.052,0.216,0.119,0.478,0.052,0.142,0.216,0.433,0.284,0.015,0.343,0.657,37.64,0.0,21.83,24.83,34.85,14.99,59.15,22.85,10.47,21.13,131.27,26.66,28.15,66.84,45.47,58.42,40.42,14.42,146.64,27.81,1.0,0.0,1.15,1.0,1.0,1.12,1.0,1.14,1.17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.29,1.0,1.0,nonDRNA
3.14,0.0,6.81,5.76,5.76,8.38,1.57,7.33,12.04,5.76,1.05,8.38,4.71,2.09,2.62,3.66,4.19,10.99,1.05,4.71,0.114,-0.329,-0.363,-0.434,-0.006,0.162,0.147,0.482,0.047,0.115,0.162,0.44,0.293,0.01,0.503,0.497,12.69,103.63,120.25,92.47,29.98,18.21,76.3,20.44,165.39,16.53,90.48,45.4,27.84,62.42,47.74,32.07,33.56,18.76,119.55,60.76,1.12,1.0,1.0,1.36,1.24,1.09,1.0,1.12,1.57,1.17,1.0,1.55,1.0,1.0,1.2,1.0,1.27,1.18,1.0,1.0,nonDRNA
12.83,1.13,1.13,4.15,6.42,8.68,1.13,6.42,2.64,13.58,1.89,4.15,4.91,3.02,3.77,6.42,5.66,8.3,1.51,2.26,-0.586,-0.876,-0.272,-0.406,0.19,0.075,0.185,0.645,0.049,0.102,0.075,0.626,0.166,0.03,0.532,0.468,29.49,75.93,34.52,32.88,27.21,39.87,41.35,35.27,23.71,18.7,85.23,37.66,28.72,38.36,57.56,41.65,28.18,40.01,119.05,40.3,1.11,1.0,1.21,1.3,1.0,1.13,1.25,1.23,1.19,1.24,1.14,1.0,1.13,1.0,1.11,1.35,1.06,1.07,1.0,1.0,nonDRNA
6.54,1.89,4.82,6.88,4.99,5.16,4.13,7.4,7.23,10.15,2.41,4.48,5.34,4.13,3.1,5.85,5.51,5.16,1.2,3.61,-0.059,-0.352,-0.244,-0.339,0.111,0.145,0.21,0.484,0.053,0.098,0.145,0.506,0.243,0.043,0.448,0.552,23.72,279.4,16.69,36.29,38.74,20.5,80.89,21.66,13.53,22.72,111.96,61.38,47.29,53.88,89.74,19.61,32.83,17.46,272.49,48.31,1.0,1.0,1.14,1.0,1.0,1.27,1.0,1.27,1.2,1.08,1.0,1.0,1.0,1.0,1.0,1.15,1.0,1.37,1.0,1.0,nonDRNA
6.94,0.32,9.15,5.05,3.79,6.94,1.58,6.94,12.93,7.57,1.58,4.1,3.15,2.84,0.95,8.2,5.36,8.52,0.32,3.79,0.281,-0.564,-0.305,-0.549,0.181,0.155,0.205,0.457,0.032,0.079,0.155,0.445,0.227,0.019,0.527,0.473,32.42,338.88,105.8,77.2,64.93,33.9,103.88,53.41,35.82,23.18,161.54,74.76,48.45,32.94,80.98,35.94,31.14,40.59,314.13,156.24,1.41,1.0,1.13,1.09,1.06,1.4,1.0,1.1,1.16,1.4,1.0,1.12,1.28,3.46,1.12,1.2,1.29,1.08,1.0,1.0,nonDRNA
8.22,1.35,4.68,4.47,3.43,6.76,1.56,4.16,5.1,8.74,1.35,3.43,9.78,11.65,3.33,8.32,6.45,5.31,0.31,1.56,0.251,-0.575,-0.191,-0.537,0.349,0.1,0.293,0.481,0.098,0.053,0.1,0.491,0.232,0.027,0.543,0.457,21.15,0.0,36.53,52.28,55.16,23.24,148.46,35.01,26.61,26.76,59.44,26.61,38.59,41.53,33.89,19.5,23.52,17.98,286.02,57.46,1.05,0.0,1.19,1.11,1.0,1.05,1.0,1.09,1.13,1.42,1.0,1.13,1.11,1.3,1.0,1.31,1.15,1.36,1.0,1.13,nonDRNA
8.22,0.0,6.41,3.81,3.81,8.02,1.2,4.61,6.21,7.62,2.0,6.01,3.81,4.01,3.81,10.22,7.82,8.82,0.6,3.01,0.303,-0.67,-0.244,-0.575,0.149,0.112,0.251,0.475,0.038,0.074,0.112,0.473,0.21,0.02,0.593,0.407,23.29,113.74,37.66,87.79,33.71,41.2,0.0,68.74,45.98,32.71,69.85,36.19,79.58,23.18,37.61,22.77,25.39,24.51,194.01,60.97,1.29,1.0,1.22,1.0,1.0,1.14,0.0,1.0,1.25,1.15,1.0,1.11,1.0,1.29,1.2,1.13,1.32,1.0,1.0,1.0,nonDRNA
10.71,0.51,4.59,2.04,5.1,7.14,0.0,5.1,4.08,6.63,2.55,9.18,2.04,7.14,5.1,7.65,9.69,8.67,0.51,1.53,0.266,-0.691,-0.319,-0.589,0.065,0.092,0.265,0.485,0.02,0.071,0.092,0.515,0.204,0.031,0.602,0.398,25.75,237.77,55.93,16.63,33.25,25.36,74.1,27.62,15.75,21.0,48.56,25.54,39.56,42.09,51.3,42.61,19.82,28.6,66.66,49.06,1.0,1.0,1.29,1.09,1.0,1.0,1.0,1.38,1.29,1.08,1.0,1.0,1.0,1.18,1.29,1.21,1.12,1.0,1.0,1.0,nonDRNA
6.18,0.36,2.55,8.0,4.0,7.27,1.45,7.64,10.18,9.09,3.64,6.55,3.27,4.0,2.55,6.91,5.82,5.82,2.18,2.55,0.031,-0.47,-0.409,-0.412,0.043,0.142,0.196,0.491,0.033,0.087,0.142,0.48,0.24,0.04,0.447,0.553,25.75,237.77,55.93,16.63,33.25,25.36,74.1,27.62,15.75,21.0,48.56,25.54,44.11,42.09,51.3,41.53,19.82,28.6,66.66,49.06,1.0,1.0,1.29,1.09,1.0,1.0,1.0,1.38,1.29,1.08,1.0,1.0,1.0,1.18,1.29,1.2,1.12,1.0,1.0,1.0,nonDRNA
6.18,0.36,2.55,8.0,4.0,7.27,1.45,7.64,10.18,9.09,3.64,6.55,2.91,4.0,2.55,7.27,5.82,5.82,2.18,2.55,0.046,-0.475,-0.412,-0.42,0.038,0.142,0.2,0.487,0.029,0.087,0.142,0.476,0.236,0.04,0.447,0.553,9.73,53.84,21.82,48.76,69.22,13.93,54.26,35.22,13.7,19.05,35.2,44.68,32.82,36.48,48.26,52.97,49.55,15.86,56.35,35.26,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.53,1.25,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.22,1.0,1.0,nonDRNA
15.31,2.04,5.1,2.04,2.04,10.2,1.02,4.08,15.31,8.16,3.06,2.04,4.08,5.1,1.02,3.06,2.04,9.18,2.04,3.06,0.027,-0.808,-0.35,-0.166,0.238,0.173,0.153,0.582,0.041,0.071,0.173,0.52,0.235,0.051,0.531,0.469,39.58,363.89,39.78,43.49,53.35,44.41,65.82,70.84,58.04,32.53,110.11,59.63,31.2,37.29,54.69,37.71,41.94,37.94,271.78,118.67,1.17,1.0,1.16,1.71,1.12,1.34,2.35,1.05,1.27,1.23,1.09,1.08,1.14,7.53,1.12,1.24,1.1,1.1,1.0,1.0,nonDRNA
6.03,1.29,5.34,6.55,4.39,6.63,3.7,3.45,5.68,6.89,1.89,4.48,7.32,9.99,4.31,9.3,5.08,5.25,0.43,1.98,0.528,-0.343,-0.167,-0.461,0.223,0.137,0.276,0.423,0.073,0.068,0.137,0.42,0.255,0.032,0.507,0.493,20.22,125.55,25.39,28.44,35.4,37.13,58.45,22.37,45.98,28.17,30.43,30.86,52.25,34.65,23.43,37.66,30.71,20.08,68.23,39.84,1.31,1.0,1.11,1.09,1.12,1.0,1.0,1.18,1.35,1.25,1.0,1.11,1.0,1.0,1.11,1.13,1.0,1.17,1.0,1.0,nonDRNA
8.18,1.26,5.66,7.23,5.03,4.72,1.89,6.92,5.35,7.55,3.77,5.66,4.72,3.46,5.97,4.72,5.35,7.23,1.57,3.77,0.0,-0.308,-0.279,-0.375,0.055,0.132,0.186,0.497,0.047,0.104,0.132,0.516,0.236,0.05,0.475,0.525,22.74,60.07,29.94,33.81,43.56,30.21,68.78,21.46,31.8,14.26,79.95,48.88,57.38,32.45,34.68,40.18,24.32,27.53,187.43,64.86,1.18,1.0,1.21,1.24,1.0,1.09,1.0,1.05,1.06,1.2,1.0,1.19,1.16,1.24,1.07,1.0,1.06,1.06,1.0,1.0,nonDRNA
8.08,1.97,5.21,6.1,4.13,7.72,2.33,6.64,5.57,10.77,2.69,3.77,4.49,4.49,4.85,4.49,5.57,6.46,0.54,4.13,-0.051,-0.556,-0.309,-0.424,0.11,0.127,0.206,0.515,0.045,0.088,0.127,0.513,0.21,0.047,0.478,0.522,21.38,159.36,22.25,37.11,27.04,13.51,100.51,41.45,32.81,46.28,69.29,30.14,38.24,29.27,42.03,15.68,24.6,28.16,80.22,15.92,1.24,1.0,1.0,1.33,1.0,1.19,1.0,1.0,1.25,1.0,1.0,1.0,1.0,1.0,1.0,1.13,1.14,1.18,1.0,1.12,nonDRNA
9.94,0.58,4.68,3.51,4.68,12.28,0.58,4.09,4.68,4.09,2.34,4.68,2.34,4.09,3.51,8.77,8.19,6.43,1.17,9.36,0.214,-0.649,-0.106,-0.511,-0.037,0.088,0.31,0.474,0.023,0.152,0.088,0.439,0.158,0.029,0.579,0.421,11.54,151.55,38.92,23.51,32.18,22.92,56.85,17.49,31.1,25.2,49.99,55.88,65.56,52.72,79.74,35.39,28.71,18.98,0.0,82.88,1.15,1.0,1.0,1.0,1.0,1.14,1.0,1.0,1.12,1.12,1.0,1.18,1.0,1.0,1.0,1.18,1.0,1.21,0.0,1.25,nonDRNA
11.79,0.44,6.55,7.42,4.8,6.11,1.75,10.04,6.99,6.99,3.49,4.8,2.18,3.06,2.18,4.8,4.8,8.3,0.0,3.49,-0.052,-0.668,-0.292,-0.565,0.136,0.109,0.166,0.537,0.022,0.083,0.109,0.528,0.179,0.039,0.498,0.502,13.66,0.0,26.69,33.89,48.9,22.18,402.01,27.43,29.31,20.19,71.93,67.01,25.26,38.44,28.16,42.78,21.24,26.88,77.85,159.68,1.17,0.0,1.0,1.09,1.0,1.15,1.0,1.15,1.09,1.32,1.0,1.0,1.08,1.0,1.09,1.17,1.0,1.14,1.0,1.0,nonDRNA
11.79,0.0,5.9,5.41,3.19,6.63,0.49,6.63,5.41,9.09,2.7,2.46,5.9,4.42,5.41,5.65,8.35,6.88,1.72,1.97,-0.017,-0.689,-0.368,-0.47,0.269,0.113,0.204,0.545,0.059,0.069,0.113,0.563,0.197,0.027,0.536,0.464,26.11,96.77,18.18,43.25,59.53,13.83,55.43,27.39,63.16,15.48,43.55,32.53,24.34,63.67,24.97,26.69,34.39,19.22,82.78,57.89,1.17,1.0,1.0,1.0,1.0,1.11,1.0,1.0,1.4,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.29,1.18,1.0,1.0,nonDRNA
7.95,0.66,7.95,3.97,3.97,11.92,2.65,6.62,3.31,10.6,3.31,2.65,5.96,4.64,4.64,5.3,4.64,7.28,0.66,1.32,0.013,-0.79,-0.21,-0.456,0.237,0.106,0.166,0.583,0.06,0.06,0.106,0.517,0.192,0.04,0.543,0.457,28.32,0.0,30.63,12.87,24.73,20.7,0.0,18.29,14.85,37.14,69.66,69.21,66.9,25.42,21.41,31.35,16.82,12.23,0.0,51.91,1.67,0.0,1.0,1.0,1.0,1.0,0.0,1.15,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.15,0.0,1.0,nonDRNA
8.04,0.0,6.25,8.93,3.57,8.93,0.0,11.61,8.93,4.46,1.79,1.79,1.79,4.46,7.14,2.68,6.25,11.61,0.0,1.79,0.208,-0.775,-0.723,-0.604,0.139,0.161,0.152,0.518,0.018,0.054,0.161,0.491,0.196,0.018,0.473,0.527,33.33,0.0,25.12,17.03,21.95,16.13,0.0,19.96,18.32,27.61,42.48,64.04,28.17,53.83,29.66,62.57,22.11,11.58,0.0,71.62,1.33,0.0,1.57,1.36,1.0,1.15,0.0,1.2,1.22,1.33,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.29,0.0,1.0,nonDRNA
5.36,0.0,6.25,9.82,4.46,11.61,0.0,8.93,8.04,5.36,3.57,0.89,3.57,3.57,7.14,2.68,5.36,12.5,0.0,0.89,0.162,-0.819,-0.629,-0.568,0.128,0.152,0.125,0.554,0.036,0.054,0.152,0.491,0.196,0.036,0.482,0.518,35.01,241.24,37.39,73.72,36.66,16.49,163.56,23.52,19.55,32.29,50.16,30.82,33.41,52.67,79.38,19.53,30.26,28.77,53.71,28.91,1.32,1.0,1.33,1.0,1.17,1.28,1.0,1.0,1.08,1.3,1.43,1.17,1.0,1.0,1.0,1.07,1.18,1.0,1.0,1.12,nonDRNA
9.42,0.91,5.47,2.43,3.65,8.81,0.3,6.69,7.9,6.08,4.26,6.99,3.95,3.95,1.82,8.51,6.69,5.17,1.82,5.17,0.087,-0.578,-0.116,-0.425,0.042,0.1,0.252,0.498,0.04,0.106,0.1,0.486,0.21,0.052,0.559,0.441,22.49,0.0,23.95,19.0,29.34,31.18,96.51,19.76,15.55,25.64,78.39,20.07,39.28,83.33,38.32,25.05,24.35,38.97,122.23,48.76,1.06,0.0,1.0,1.16,1.11,1.12,1.0,1.26,1.16,1.26,1.0,1.0,1.0,1.0,1.0,1.17,1.0,1.0,1.0,1.2,nonDRNA
9.58,0.0,5.39,7.49,5.69,5.09,1.2,9.28,11.08,6.89,2.4,7.49,2.99,2.4,3.29,7.19,4.79,4.19,0.6,2.99,0.227,-0.354,-0.327,-0.469,0.11,0.156,0.174,0.467,0.03,0.093,0.156,0.464,0.26,0.024,0.467,0.533,35.85,134.71,26.84,18.47,23.55,31.01,63.85,18.37,12.1,46.53,59.73,24.38,78.54,59.02,50.75,29.26,38.51,27.22,479.17,35.76,1.1,1.0,1.06,1.06,1.07,1.09,1.15,1.13,1.16,1.14,1.13,1.18,1.0,1.0,1.13,1.07,1.4,1.18,1.0,1.08,nonDRNA
4.26,0.81,6.29,7.1,6.09,4.67,2.64,9.53,12.37,5.68,3.04,8.92,1.83,2.23,3.04,5.68,4.06,6.69,0.2,4.87,0.223,-0.153,-0.357,-0.401,-0.061,0.181,0.176,0.42,0.018,0.112,0.181,0.422,0.288,0.039,0.432,0.568,37.91,66.44,24.32,38.87,25.9,32.79,45.51,15.73,17.55,28.28,54.62,17.52,40.5,50.06,63.08,23.04,44.18,28.32,122.5,29.43,1.0,1.0,1.11,1.25,1.0,1.0,1.0,1.37,1.25,1.0,1.0,1.1,1.22,1.0,1.0,1.0,1.0,1.12,1.0,1.0,nonDRNA
2.9,1.66,7.47,6.64,6.22,4.15,2.9,11.2,9.96,5.81,2.49,8.71,3.73,2.49,2.07,6.64,3.32,7.05,0.41,4.15,0.089,-0.182,-0.208,-0.464,-0.025,0.149,0.183,0.44,0.037,0.108,0.149,0.448,0.274,0.041,0.456,0.544,16.32,51.63,17.45,24.57,34.45,36.35,80.39,17.43,32.89,21.72,45.75,42.17,34.47,22.63,38.32,25.25,21.75,10.59,0.0,50.5,1.15,1.0,1.0,1.0,1.4,1.0,1.0,1.33,1.29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.13,0.0,1.0,nonDRNA
10.08,1.55,6.2,5.43,3.88,6.2,0.78,9.3,5.43,5.43,2.33,2.33,5.43,6.98,3.88,4.65,6.2,11.63,0.0,2.33,-0.064,-0.789,-0.364,-0.578,0.22,0.101,0.217,0.543,0.054,0.062,0.101,0.558,0.178,0.039,0.543,0.457,23.47,98.96,26.25,21.86,32.33,18.04,58.01,46.12,16.83,32.84,61.91,40.05,45.93,32.67,55.03,26.27,19.41,17.24,63.25,28.05,1.0,1.0,1.0,1.15,1.18,1.18,1.0,1.25,1.57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.11,1.11,1.0,1.0,nonDRNA
