ID,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN
Seq_5019,0.411,0.269,0.32,0.405,0.364,0.217
Seq_5020,0.425,0.281,0.295,0.467,0.298,0.25
Seq_5021,0.399,0.27,0.331,0.449,0.288,0.266
Seq_5022,0.401,0.341,0.257,0.455,0.293,0.228
Seq_5023,0.46,0.267,0.274,0.435,0.28,0.271
Seq_5024,0.435,0.286,0.279,0.419,0.381,0.231
Seq_5025,0.475,0.257,0.268,0.395,0.335,0.256
Seq_5026,0.418,0.272,0.31,0.431,0.34,0.252
Seq_5027,0.411,0.291,0.298,0.362,0.397,0.241
Seq_5028,0.399,0.282,0.319,0.445,0.31,0.264
Seq_5029,0.428,0.231,0.341,0.341,0.498,0.202
Seq_5030,0.302,0.244,0.453,0.457,0.306,0.314
Seq_5031,0.448,0.292,0.261,0.409,0.287,0.271
Seq_5032,0.402,0.286,0.312,0.39,0.325,0.283
Seq_5033,0.337,0.272,0.391,0.476,0.293,0.279
Seq_5034,0.427,0.307,0.266,0.382,0.361,0.237
Seq_5035,0.442,0.304,0.254,0.399,0.333,0.225
Seq_5036,0.475,0.247,0.278,0.438,0.309,0.265
Seq_5037,0.446,0.268,0.287,0.433,0.28,0.28
Seq_5038,0.457,0.262,0.281,0.469,0.309,0.199
Seq_5039,0.407,0.295,0.298,0.476,0.291,0.276
Seq_5040,0.492,0.241,0.267,0.267,0.419,0.262
Seq_5041,0.459,0.278,0.263,0.466,0.308,0.208
Seq_5042,0.371,0.312,0.317,0.367,0.372,0.274
Seq_5043,0.469,0.271,0.26,0.461,0.316,0.211
Seq_5044,0.406,0.308,0.286,0.403,0.362,0.242
Seq_5045,0.443,0.31,0.248,0.402,0.353,0.248
Seq_5046,0.439,0.265,0.297,0.452,0.31,0.213
Seq_5047,0.498,0.264,0.238,0.502,0.282,0.176
Seq_5048,0.408,0.351,0.241,0.461,0.309,0.241
Seq_5049,0.35,0.369,0.281,0.412,0.3,0.294
Seq_5050,0.469,0.202,0.329,0.442,0.329,0.252
Seq_5051,0.423,0.245,0.332,0.423,0.307,0.296
Seq_5052,0.432,0.276,0.292,0.463,0.292,0.253
Seq_5053,0.445,0.278,0.278,0.464,0.33,0.234
Seq_5054,0.366,0.263,0.371,0.417,0.263,0.349
Seq_5055,0.365,0.307,0.328,0.443,0.318,0.256
Seq_5056,0.465,0.27,0.265,0.476,0.292,0.208
Seq_5057,0.524,0.232,0.244,0.518,0.262,0.214
Seq_5058,0.373,0.313,0.313,0.436,0.266,0.305
Seq_5059,0.38,0.318,0.303,0.423,0.264,0.315
Seq_5060,0.366,0.28,0.354,0.422,0.34,0.33
Seq_5061,0.365,0.328,0.307,0.474,0.258,0.274
Seq_5062,0.384,0.32,0.296,0.399,0.293,0.311
Seq_5063,0.466,0.311,0.224,0.416,0.333,0.26
Seq_5064,0.385,0.304,0.311,0.517,0.257,0.267
Seq_5065,0.414,0.344,0.242,0.531,0.209,0.282
Seq_5066,0.464,0.266,0.271,0.483,0.271,0.203
Seq_5067,0.437,0.303,0.261,0.412,0.345,0.277
Seq_5068,0.541,0.216,0.243,0.52,0.25,0.203
Seq_5069,0.4,0.355,0.245,0.485,0.277,0.229
Seq_5070,0.333,0.34,0.326,0.562,0.188,0.271
Seq_5071,0.452,0.271,0.276,0.457,0.335,0.235
Seq_5072,0.497,0.166,0.337,0.322,0.404,0.326
Seq_5073,0.22,0.453,0.327,0.323,0.257,0.475
Seq_5074,0.496,0.234,0.27,0.441,0.267,0.272
Seq_5075,0.416,0.297,0.288,0.498,0.224,0.26
Seq_5076,0.405,0.313,0.283,0.444,0.316,0.248
Seq_5077,0.483,0.341,0.176,0.591,0.21,0.205
Seq_5078,0.456,0.249,0.295,0.489,0.274,0.239
Seq_5079,0.326,0.34,0.334,0.369,0.316,0.342
Seq_5080,0.454,0.298,0.248,0.422,0.33,0.262
Seq_5081,0.512,0.246,0.241,0.461,0.259,0.229
Seq_5082,0.436,0.286,0.278,0.457,0.3,0.235
Seq_5083,0.441,0.287,0.273,0.473,0.325,0.198
Seq_5084,0.432,0.25,0.318,0.439,0.304,0.277
Seq_5085,0.514,0.243,0.243,0.486,0.257,0.314
Seq_5086,0.435,0.279,0.286,0.434,0.305,0.263
Seq_5087,0.338,0.346,0.316,0.477,0.218,0.282
Seq_5088,0.429,0.215,0.356,0.326,0.392,0.275
Seq_5089,0.401,0.292,0.308,0.488,0.255,0.279
Seq_5090,0.432,0.315,0.252,0.414,0.32,0.262
Seq_5091,0.44,0.277,0.283,0.438,0.316,0.252
Seq_5092,0.408,0.322,0.27,0.443,0.317,0.232
Seq_5093,0.286,0.319,0.396,0.409,0.31,0.314
Seq_5094,0.446,0.279,0.275,0.455,0.322,0.236
Seq_5095,0.455,0.273,0.272,0.381,0.354,0.269
Seq_5096,0.488,0.268,0.244,0.474,0.278,0.177
Seq_5097,0.465,0.266,0.269,0.498,0.278,0.202
Seq_5098,0.396,0.255,0.349,0.506,0.198,0.28
Seq_5099,0.453,0.254,0.293,0.482,0.298,0.209
Seq_5100,0.352,0.282,0.367,0.459,0.247,0.299
Seq_5101,0.436,0.259,0.305,0.419,0.326,0.249
Seq_5102,0.37,0.332,0.298,0.449,0.322,0.219
Seq_5103,0.394,0.268,0.338,0.431,0.299,0.268
Seq_5104,0.503,0.25,0.247,0.453,0.313,0.196
Seq_5105,0.46,0.254,0.286,0.493,0.247,0.282
Seq_5106,0.417,0.29,0.293,0.497,0.29,0.246
Seq_5107,0.487,0.308,0.205,0.59,0.167,0.231
Seq_5108,0.525,0.182,0.293,0.401,0.322,0.256
Seq_5109,0.377,0.404,0.219,0.553,0.202,0.228
Seq_5110,0.387,0.324,0.289,0.432,0.318,0.258
Seq_5111,0.434,0.276,0.289,0.402,0.328,0.268
Seq_5112,0.379,0.314,0.307,0.449,0.332,0.209
Seq_5113,0.491,0.257,0.251,0.395,0.365,0.246
Seq_5114,0.391,0.277,0.332,0.415,0.328,0.277
Seq_5115,0.439,0.281,0.281,0.439,0.32,0.25
Seq_5116,0.493,0.269,0.238,0.497,0.242,0.202
Seq_5117,0.571,0.217,0.212,0.394,0.296,0.305
Seq_5118,0.281,0.385,0.334,0.418,0.26,0.368
Seq_5119,0.462,0.282,0.256,0.468,0.292,0.216
Seq_5120,0.4,0.284,0.316,0.406,0.323,0.29
Seq_5121,0.324,0.378,0.297,0.342,0.306,0.333
Seq_5122,0.322,0.308,0.37,0.455,0.246,0.303
Seq_5123,0.458,0.274,0.268,0.444,0.322,0.24
Seq_5124,0.518,0.254,0.229,0.423,0.317,0.236
Seq_5125,0.47,0.28,0.25,0.5,0.34,0.15
Seq_5126,0.464,0.243,0.293,0.459,0.324,0.234
Seq_5127,0.423,0.328,0.249,0.477,0.238,0.267
Seq_5128,0.542,0.252,0.206,0.435,0.351,0.237
Seq_5129,0.519,0.252,0.229,0.412,0.366,0.252
Seq_5130,0.434,0.3,0.267,0.467,0.271,0.255
Seq_5131,0.52,0.277,0.203,0.445,0.324,0.23
Seq_5132,0.386,0.271,0.343,0.417,0.33,0.253
Seq_5133,0.467,0.189,0.344,0.397,0.32,0.293
Seq_5134,0.415,0.286,0.299,0.444,0.249,0.282
Seq_5135,0.374,0.303,0.323,0.432,0.31,0.297
Seq_5136,0.458,0.271,0.271,0.429,0.336,0.263
Seq_5137,0.416,0.27,0.314,0.445,0.266,0.288
Seq_5138,0.423,0.276,0.301,0.467,0.265,0.265
Seq_5139,0.398,0.31,0.292,0.442,0.305,0.27
Seq_5140,0.423,0.281,0.296,0.443,0.315,0.245
Seq_5141,0.431,0.291,0.278,0.405,0.31,0.291
Seq_5142,0.463,0.26,0.277,0.479,0.273,0.212
Seq_5143,0.5,0.243,0.257,0.421,0.307,0.264
Seq_5144,0.518,0.248,0.234,0.44,0.319,0.248
Seq_5145,0.483,0.269,0.248,0.517,0.303,0.179
Seq_5146,0.389,0.329,0.282,0.423,0.342,0.242
Seq_5147,0.541,0.227,0.232,0.477,0.318,0.205
Seq_5148,0.432,0.281,0.287,0.441,0.325,0.255
Seq_5149,0.516,0.28,0.204,0.419,0.366,0.204
Seq_5150,0.554,0.209,0.237,0.514,0.277,0.186
Seq_5151,0.477,0.23,0.294,0.391,0.313,0.267
Seq_5152,0.49,0.261,0.249,0.444,0.296,0.255
Seq_5153,0.352,0.342,0.306,0.43,0.29,0.288
Seq_5154,0.441,0.306,0.253,0.498,0.279,0.226
Seq_5155,0.373,0.312,0.315,0.45,0.358,0.185
Seq_5156,0.466,0.296,0.238,0.461,0.267,0.296
Seq_5157,0.435,0.277,0.288,0.402,0.337,0.277
Seq_5158,0.513,0.238,0.249,0.477,0.269,0.228
Seq_5159,0.47,0.317,0.213,0.493,0.263,0.213
Seq_5160,0.353,0.304,0.342,0.423,0.318,0.248
Seq_5161,0.454,0.261,0.285,0.444,0.333,0.246
Seq_5162,0.39,0.27,0.341,0.408,0.348,0.273
Seq_5163,0.379,0.309,0.312,0.397,0.326,0.262
Seq_5164,0.472,0.269,0.259,0.499,0.262,0.227
Seq_5165,0.347,0.293,0.359,0.491,0.204,0.275
Seq_5166,0.51,0.279,0.212,0.452,0.288,0.279
Seq_5167,0.378,0.319,0.303,0.412,0.336,0.227
Seq_5168,0.395,0.311,0.294,0.429,0.328,0.218
Seq_5169,0.441,0.267,0.292,0.428,0.319,0.243
Seq_5170,0.5,0.275,0.225,0.513,0.271,0.14
Seq_5171,0.452,0.261,0.287,0.473,0.312,0.196
Seq_5172,0.373,0.353,0.274,0.43,0.366,0.212
Seq_5173,0.394,0.352,0.254,0.583,0.153,0.287
Seq_5174,0.412,0.33,0.258,0.467,0.313,0.242
Seq_5175,0.412,0.33,0.258,0.467,0.308,0.242
Seq_5176,0.461,0.268,0.271,0.414,0.282,0.271
Seq_5177,0.45,0.276,0.273,0.417,0.276,0.276
Seq_5178,0.33,0.324,0.346,0.448,0.272,0.294
Seq_5179,0.463,0.273,0.264,0.407,0.32,0.273
Seq_5180,0.538,0.233,0.23,0.495,0.272,0.193
Seq_5181,0.548,0.215,0.238,0.446,0.337,0.195
Seq_5182,0.448,0.272,0.28,0.492,0.255,0.227
Seq_5183,0.438,0.295,0.267,0.466,0.25,0.267
Seq_5184,0.549,0.222,0.229,0.363,0.401,0.218
Seq_5185,0.457,0.291,0.251,0.452,0.296,0.241
Seq_5186,0.462,0.291,0.247,0.438,0.369,0.183
Seq_5187,0.455,0.218,0.328,0.306,0.352,0.328
Seq_5188,0.513,0.228,0.259,0.449,0.253,0.285
Seq_5189,0.414,0.301,0.285,0.404,0.366,0.232
Seq_5190,0.357,0.306,0.337,0.373,0.328,0.3
Seq_5191,0.502,0.26,0.239,0.477,0.29,0.193
Seq_5192,0.45,0.266,0.285,0.435,0.31,0.263
Seq_5193,0.375,0.323,0.302,0.469,0.288,0.25
Seq_5194,0.51,0.218,0.272,0.364,0.389,0.25
Seq_5195,0.455,0.282,0.263,0.401,0.314,0.272
Seq_5196,0.427,0.271,0.303,0.49,0.28,0.248
Seq_5197,0.435,0.299,0.266,0.456,0.305,0.216
Seq_5198,0.482,0.319,0.199,0.496,0.241,0.191
Seq_5199,0.433,0.31,0.257,0.428,0.289,0.262
Seq_5200,0.514,0.236,0.25,0.495,0.318,0.164
Seq_5201,0.469,0.241,0.29,0.472,0.293,0.224
Seq_5202,0.379,0.282,0.338,0.405,0.4,0.185
Seq_5203,0.443,0.276,0.281,0.443,0.289,0.272
Seq_5204,0.505,0.238,0.257,0.423,0.338,0.194
Seq_5205,0.437,0.299,0.263,0.443,0.305,0.216
Seq_5206,0.348,0.32,0.332,0.453,0.324,0.263
Seq_5207,0.365,0.306,0.328,0.434,0.302,0.272
Seq_5208,0.435,0.309,0.256,0.484,0.238,0.269
Seq_5209,0.368,0.421,0.211,0.632,0.132,0.316
Seq_5210,0.389,0.315,0.297,0.386,0.324,0.267
Seq_5211,0.49,0.254,0.257,0.513,0.262,0.219
Seq_5212,0.412,0.279,0.309,0.42,0.324,0.284
Seq_5213,0.342,0.324,0.334,0.384,0.311,0.316
Seq_5214,0.446,0.286,0.268,0.398,0.342,0.234
Seq_5215,0.441,0.313,0.246,0.436,0.33,0.251
Seq_5216,0.497,0.276,0.227,0.514,0.265,0.182
Seq_5217,0.364,0.379,0.258,0.47,0.242,0.258
Seq_5218,0.372,0.323,0.305,0.453,0.297,0.262
Seq_5219,0.368,0.296,0.336,0.439,0.305,0.238
Seq_5220,0.438,0.315,0.247,0.414,0.384,0.214
Seq_5221,0.398,0.264,0.339,0.468,0.306,0.24
Seq_5222,0.451,0.308,0.241,0.424,0.36,0.211
Seq_5223,0.4,0.285,0.314,0.458,0.254,0.271
Seq_5224,0.405,0.281,0.314,0.46,0.257,0.264
Seq_5225,0.417,0.303,0.28,0.465,0.287,0.268
Seq_5226,0.51,0.218,0.272,0.46,0.327,0.198
Seq_5227,0.472,0.312,0.216,0.494,0.264,0.221
Seq_5228,0.479,0.24,0.281,0.419,0.307,0.24
Seq_5229,0.333,0.336,0.331,0.388,0.319,0.341
Seq_5230,0.454,0.276,0.27,0.467,0.302,0.257
Seq_5231,0.475,0.267,0.257,0.45,0.302,0.248
Seq_5232,0.436,0.302,0.262,0.395,0.302,0.262
Seq_5233,0.495,0.255,0.249,0.422,0.359,0.24
Seq_5234,0.342,0.319,0.338,0.446,0.297,0.284
Seq_5235,0.373,0.314,0.314,0.403,0.347,0.275
Seq_5236,0.494,0.25,0.256,0.419,0.326,0.256
Seq_5237,0.509,0.24,0.251,0.408,0.373,0.217
Seq_5238,0.374,0.298,0.329,0.438,0.286,0.3
Seq_5239,0.373,0.301,0.327,0.423,0.303,0.287
Seq_5240,0.334,0.309,0.356,0.461,0.304,0.215
Seq_5241,0.588,0.216,0.196,0.412,0.277,0.243
Seq_5242,0.615,0.176,0.209,0.453,0.27,0.196
Seq_5243,0.402,0.311,0.287,0.394,0.374,0.228
Seq_5244,0.427,0.34,0.233,0.447,0.353,0.207
Seq_5245,0.49,0.255,0.255,0.435,0.325,0.215
Seq_5246,0.434,0.263,0.303,0.404,0.323,0.232
Seq_5247,0.53,0.263,0.207,0.425,0.338,0.198
Seq_5248,0.373,0.253,0.374,0.348,0.376,0.269
Seq_5249,0.376,0.278,0.346,0.419,0.376,0.235
Seq_5250,0.498,0.237,0.265,0.462,0.296,0.19
Seq_5251,0.391,0.3,0.309,0.432,0.319,0.246
Seq_5252,0.353,0.295,0.353,0.455,0.304,0.299
Seq_5253,0.281,0.359,0.359,0.439,0.256,0.336
Seq_5254,0.495,0.236,0.27,0.442,0.329,0.252
Seq_5255,0.386,0.307,0.307,0.438,0.307,0.273
Seq_5256,0.415,0.285,0.3,0.39,0.307,0.293
Seq_5257,0.473,0.259,0.268,0.439,0.366,0.2
Seq_5258,0.468,0.271,0.261,0.468,0.287,0.25
Seq_5259,0.418,0.224,0.358,0.375,0.343,0.34
Seq_5260,0.427,0.308,0.264,0.489,0.278,0.207
Seq_5261,0.486,0.247,0.267,0.462,0.327,0.235
Seq_5262,0.298,0.328,0.374,0.421,0.286,0.317
Seq_5263,0.395,0.262,0.343,0.353,0.349,0.35
Seq_5264,0.383,0.279,0.337,0.329,0.37,0.33
Seq_5265,0.411,0.322,0.267,0.433,0.317,0.256
Seq_5266,0.391,0.335,0.274,0.466,0.31,0.224
Seq_5267,0.562,0.222,0.216,0.393,0.355,0.199
Seq_5268,0.452,0.315,0.234,0.419,0.339,0.21
Seq_5269,0.436,0.295,0.268,0.396,0.362,0.215
Seq_5270,0.434,0.298,0.268,0.487,0.306,0.185
Seq_5271,0.442,0.269,0.289,0.419,0.304,0.281
Seq_5272,0.423,0.29,0.287,0.443,0.246,0.276
Seq_5273,0.479,0.219,0.301,0.445,0.295,0.212
Seq_5274,0.377,0.33,0.293,0.449,0.272,0.254
Seq_5275,0.433,0.241,0.326,0.397,0.321,0.274
Seq_5276,0.481,0.26,0.258,0.501,0.289,0.19
Seq_5277,0.381,0.307,0.312,0.386,0.36,0.265
Seq_5278,0.424,0.283,0.293,0.411,0.313,0.253
Seq_5279,0.5,0.299,0.201,0.5,0.314,0.157
Seq_5280,0.551,0.266,0.184,0.437,0.323,0.19
Seq_5281,0.412,0.297,0.291,0.439,0.303,0.273
Seq_5282,0.38,0.28,0.34,0.485,0.251,0.28
Seq_5283,0.438,0.281,0.281,0.472,0.289,0.278
Seq_5284,0.433,0.283,0.283,0.47,0.291,0.281
Seq_5285,0.433,0.25,0.317,0.448,0.306,0.256
Seq_5286,0.423,0.295,0.282,0.416,0.356,0.289
Seq_5287,0.494,0.262,0.244,0.415,0.287,0.299
Seq_5288,0.445,0.257,0.298,0.496,0.26,0.272
Seq_5289,0.325,0.375,0.3,0.7,0.05,0.25
Seq_5290,0.512,0.225,0.264,0.446,0.314,0.217
Seq_5291,0.295,0.116,0.589,0.477,0.379,0.295
Seq_5292,0.47,0.268,0.262,0.534,0.271,0.226
Seq_5293,0.487,0.23,0.283,0.424,0.294,0.235
Seq_5294,0.424,0.279,0.296,0.414,0.316,0.263
Seq_5295,0.407,0.294,0.3,0.404,0.297,0.278
Seq_5296,0.395,0.311,0.294,0.449,0.338,0.23
Seq_5297,0.449,0.298,0.253,0.5,0.301,0.181
Seq_5298,0.524,0.171,0.306,0.382,0.359,0.247
Seq_5299,0.429,0.367,0.204,0.607,0.152,0.234
Seq_5300,0.371,0.334,0.295,0.505,0.289,0.214
Seq_5301,0.38,0.392,0.229,0.446,0.277,0.253
Seq_5302,0.455,0.258,0.287,0.456,0.299,0.236
Seq_5303,0.469,0.202,0.329,0.298,0.41,0.294
Seq_5304,0.431,0.266,0.303,0.544,0.212,0.229
Seq_5305,0.446,0.322,0.231,0.446,0.281,0.298
Seq_5306,0.455,0.268,0.277,0.459,0.345,0.187
Seq_5307,0.345,0.361,0.293,0.427,0.266,0.307
Seq_5308,0.431,0.277,0.292,0.439,0.298,0.248
Seq_5309,0.449,0.319,0.232,0.493,0.295,0.188
Seq_5310,0.451,0.285,0.265,0.478,0.273,0.257
Seq_5311,0.543,0.262,0.195,0.396,0.366,0.207
Seq_5312,0.407,0.293,0.299,0.415,0.298,0.262
Seq_5313,0.486,0.26,0.253,0.463,0.295,0.23
Seq_5314,0.464,0.264,0.272,0.42,0.313,0.257
Seq_5315,0.283,0.292,0.425,0.328,0.419,0.25
Seq_5316,0.431,0.285,0.285,0.417,0.312,0.264
Seq_5317,0.473,0.273,0.254,0.471,0.251,0.259
Seq_5318,0.448,0.273,0.279,0.497,0.297,0.248
Seq_5319,0.441,0.255,0.304,0.436,0.338,0.225
Seq_5320,0.438,0.284,0.277,0.511,0.236,0.228
Seq_5321,0.463,0.269,0.269,0.519,0.296,0.204
Seq_5322,0.519,0.236,0.245,0.448,0.321,0.179
Seq_5323,0.441,0.249,0.311,0.429,0.373,0.216
Seq_5324,0.495,0.301,0.204,0.484,0.323,0.172
Seq_5325,0.422,0.299,0.279,0.494,0.227,0.273
Seq_5326,0.436,0.275,0.289,0.453,0.3,0.289
Seq_5327,0.445,0.277,0.277,0.509,0.273,0.197
Seq_5328,0.406,0.272,0.322,0.493,0.304,0.231
Seq_5329,0.468,0.266,0.266,0.444,0.287,0.257
Seq_5330,0.5,0.24,0.26,0.497,0.255,0.211
Seq_5331,0.463,0.249,0.288,0.484,0.263,0.274
Seq_5332,0.426,0.285,0.289,0.372,0.325,0.326
Seq_5333,0.492,0.288,0.22,0.503,0.288,0.22
Seq_5334,0.482,0.253,0.265,0.506,0.325,0.181
Seq_5335,0.474,0.284,0.242,0.468,0.229,0.26
Seq_5336,0.459,0.293,0.248,0.442,0.32,0.218
Seq_5337,0.481,0.217,0.302,0.456,0.306,0.219
Seq_5338,0.44,0.335,0.225,0.413,0.307,0.239
Seq_5339,0.461,0.242,0.297,0.398,0.266,0.242
Seq_5340,0.4,0.288,0.312,0.499,0.261,0.235
Seq_5341,0.478,0.252,0.27,0.486,0.255,0.234
Seq_5342,0.398,0.334,0.268,0.402,0.349,0.241
Seq_5343,0.429,0.361,0.21,0.612,0.196,0.201
Seq_5344,0.462,0.241,0.297,0.508,0.25,0.209
Seq_5345,0.482,0.254,0.264,0.465,0.294,0.231
Seq_5346,0.456,0.279,0.265,0.449,0.333,0.224
Seq_5347,0.377,0.321,0.302,0.43,0.306,0.264
Seq_5348,0.458,0.263,0.279,0.406,0.34,0.248
Seq_5349,0.478,0.242,0.28,0.379,0.46,0.161
Seq_5350,0.373,0.3,0.328,0.498,0.278,0.244
Seq_5351,0.44,0.29,0.27,0.388,0.384,0.215
Seq_5352,0.505,0.216,0.279,0.441,0.27,0.288
Seq_5353,0.404,0.286,0.31,0.51,0.227,0.235
Seq_5354,0.468,0.251,0.281,0.485,0.286,0.229
Seq_5355,0.454,0.243,0.303,0.498,0.295,0.191
Seq_5356,0.379,0.342,0.28,0.472,0.304,0.236
Seq_5357,0.485,0.26,0.255,0.459,0.279,0.23
Seq_5358,0.415,0.292,0.292,0.443,0.349,0.17
Seq_5359,0.329,0.326,0.344,0.377,0.344,0.311
Seq_5360,0.35,0.3,0.35,0.467,0.35,0.183
Seq_5361,0.452,0.319,0.229,0.588,0.192,0.22
Seq_5362,0.441,0.258,0.301,0.415,0.301,0.258
Seq_5363,0.389,0.295,0.316,0.436,0.306,0.258
Seq_5364,0.45,0.268,0.283,0.446,0.297,0.271
Seq_5365,0.446,0.267,0.287,0.442,0.303,0.235
Seq_5366,0.333,0.281,0.386,0.454,0.28,0.319
Seq_5367,0.438,0.269,0.294,0.495,0.244,0.236
Seq_5368,0.41,0.316,0.275,0.377,0.385,0.221
Seq_5369,0.494,0.282,0.224,0.4,0.41,0.186
Seq_5370,0.327,0.323,0.349,0.462,0.277,0.27
Seq_5371,0.418,0.275,0.308,0.365,0.387,0.255
Seq_5372,0.45,0.236,0.314,0.38,0.417,0.207
Seq_5373,0.387,0.397,0.216,0.536,0.268,0.191
Seq_5374,0.432,0.295,0.273,0.405,0.309,0.232
Seq_5375,0.575,0.208,0.217,0.512,0.233,0.217
Seq_5376,0.476,0.245,0.279,0.527,0.257,0.21
Seq_5377,0.525,0.265,0.21,0.501,0.277,0.195
Seq_5378,0.462,0.286,0.253,0.396,0.297,0.363
Seq_5379,0.486,0.253,0.261,0.406,0.357,0.241
Seq_5380,0.455,0.258,0.287,0.52,0.234,0.197
Seq_5381,0.462,0.269,0.269,0.473,0.325,0.195
Seq_5382,0.429,0.278,0.293,0.494,0.331,0.21
Seq_5383,0.483,0.263,0.254,0.371,0.345,0.267
Seq_5384,0.444,0.294,0.262,0.401,0.382,0.225
Seq_5385,0.491,0.245,0.264,0.421,0.368,0.183
Seq_5386,0.594,0.16,0.246,0.408,0.451,0.157
Seq_5387,0.56,0.218,0.223,0.387,0.427,0.196
Seq_5388,0.362,0.306,0.332,0.406,0.345,0.279
Seq_5389,0.414,0.29,0.296,0.494,0.315,0.239
Seq_5390,0.453,0.285,0.262,0.395,0.378,0.227
Seq_5391,0.298,0.326,0.376,0.553,0.22,0.248
Seq_5392,0.469,0.286,0.245,0.516,0.245,0.213
Seq_5393,0.454,0.295,0.251,0.399,0.339,0.246
Seq_5394,0.451,0.261,0.289,0.487,0.258,0.232
Seq_5395,0.464,0.23,0.306,0.344,0.383,0.24
Seq_5396,0.486,0.24,0.273,0.494,0.254,0.233
Seq_5397,0.367,0.344,0.288,0.447,0.27,0.265
Seq_5398,0.463,0.264,0.273,0.442,0.313,0.23
Seq_5399,0.459,0.258,0.282,0.352,0.389,0.282
Seq_5400,0.356,0.282,0.362,0.463,0.277,0.237
Seq_5401,0.394,0.236,0.371,0.382,0.339,0.247
Seq_5402,0.464,0.276,0.26,0.428,0.341,0.211
Seq_5403,0.438,0.289,0.273,0.458,0.306,0.223
Seq_5404,0.485,0.27,0.245,0.429,0.313,0.258
Seq_5405,0.518,0.223,0.259,0.574,0.203,0.19
Seq_5406,0.473,0.271,0.256,0.469,0.282,0.227
Seq_5407,0.5,0.198,0.302,0.41,0.302,0.257
Seq_5408,0.435,0.207,0.358,0.242,0.463,0.292
Seq_5409,0.362,0.414,0.224,0.514,0.23,0.293
Seq_5410,0.421,0.296,0.283,0.412,0.322,0.275
Seq_5411,0.383,0.301,0.316,0.455,0.349,0.182
Seq_5412,0.278,0.334,0.388,0.414,0.222,0.367
Seq_5413,0.537,0.22,0.243,0.503,0.249,0.226
Seq_5414,0.409,0.292,0.299,0.458,0.297,0.256
Seq_5415,0.415,0.326,0.259,0.497,0.264,0.233
Seq_5416,0.453,0.271,0.276,0.367,0.387,0.245
Seq_5417,0.442,0.292,0.266,0.477,0.322,0.211
Seq_5418,0.364,0.315,0.321,0.486,0.22,0.269
Seq_5419,0.396,0.333,0.271,0.465,0.333,0.229
Seq_5420,0.503,0.284,0.213,0.462,0.307,0.196
Seq_5421,0.589,0.2,0.211,0.356,0.422,0.133
Seq_5422,0.421,0.344,0.235,0.454,0.35,0.186
Seq_5423,0.483,0.269,0.247,0.443,0.321,0.203
Seq_5424,0.397,0.347,0.256,0.444,0.321,0.22
Seq_5425,0.463,0.28,0.256,0.433,0.311,0.195
Seq_5426,0.463,0.287,0.25,0.433,0.311,0.195
Seq_5427,0.396,0.337,0.267,0.436,0.356,0.198
Seq_5428,0.401,0.28,0.319,0.505,0.276,0.229
Seq_5429,0.383,0.351,0.266,0.532,0.273,0.182
Seq_5430,0.441,0.264,0.294,0.485,0.341,0.196
Seq_5431,0.374,0.3,0.326,0.366,0.355,0.285
Seq_5432,0.32,0.365,0.315,0.485,0.278,0.254
Seq_5433,0.387,0.261,0.352,0.413,0.304,0.289
Seq_5434,0.538,0.241,0.221,0.434,0.283,0.262
Seq_5435,0.438,0.292,0.27,0.434,0.347,0.241
Seq_5436,0.44,0.259,0.301,0.408,0.308,0.272
Seq_5437,0.422,0.26,0.318,0.466,0.35,0.175
Seq_5438,0.448,0.294,0.258,0.472,0.291,0.247
Seq_5439,0.457,0.295,0.248,0.435,0.361,0.207
Seq_5440,0.432,0.271,0.297,0.37,0.366,0.306
Seq_5441,0.481,0.259,0.259,0.528,0.225,0.213
Seq_5442,0.411,0.324,0.265,0.437,0.314,0.239
Seq_5443,0.468,0.213,0.319,0.367,0.343,0.294
Seq_5444,0.377,0.318,0.305,0.42,0.314,0.296
Seq_5445,0.485,0.239,0.276,0.536,0.294,0.158
Seq_5446,0.443,0.284,0.273,0.444,0.314,0.24
Seq_5447,0.581,0.202,0.217,0.551,0.244,0.154
Seq_5448,0.262,0.315,0.424,0.445,0.222,0.342
Seq_5449,0.342,0.376,0.282,0.396,0.302,0.315
Seq_5450,0.476,0.22,0.304,0.303,0.421,0.278
Seq_5451,0.38,0.263,0.357,0.3,0.48,0.221
Seq_5452,0.335,0.293,0.372,0.367,0.372,0.233
Seq_5453,0.424,0.302,0.273,0.453,0.306,0.204
Seq_5454,0.437,0.341,0.222,0.452,0.325,0.198
Seq_5455,0.416,0.291,0.293,0.402,0.32,0.272
Seq_5456,0.374,0.333,0.293,0.396,0.352,0.257
Seq_5457,0.438,0.258,0.304,0.447,0.364,0.18
Seq_5458,0.411,0.285,0.304,0.386,0.329,0.241
Seq_5459,0.461,0.251,0.288,0.503,0.293,0.204
Seq_5460,0.437,0.304,0.259,0.452,0.331,0.236
Seq_5461,0.45,0.273,0.278,0.368,0.325,0.321
Seq_5462,0.451,0.22,0.329,0.486,0.289,0.266
Seq_5463,0.428,0.298,0.274,0.447,0.302,0.237
Seq_5464,0.466,0.261,0.273,0.462,0.32,0.249
Seq_5465,0.358,0.291,0.351,0.44,0.268,0.307
Seq_5466,0.435,0.297,0.268,0.483,0.312,0.199
Seq_5467,0.388,0.31,0.302,0.476,0.266,0.266
