ID,DDR_A,DDR_C,DDR_D,DDR_E,DDR_F,DDR_G,DDR_H,DDR_I,DDR_K,DDR_L,DDR_M,DDR_N,DDR_P,DDR_Q,DDR_R,DDR_S,DDR_T,DDR_V,DDR_W,DDR_Y
Seq_3582,30.30,20.55,18.05,38.15,26.76,29.42,31.27,25.07,21.84,16.01,139.01,38.50,47.26,29.42,74.32,24.09,27.21,25.94,36.46,34.95
Seq_3583,42.87,0.00,40.06,32.77,39.98,53.38,78.37,26.45,22.26,16.45,107.14,58.15,31.55,28.33,27.50,25.01,40.74,20.59,85.32,30.30
Seq_3584,24.46,130.55,29.08,20.00,35.21,24.03,38.84,51.69,35.47,19.47,80.06,48.98,32.55,25.90,29.16,33.18,41.23,39.43,207.86,41.71
Seq_3585,23.73,11.35,23.13,50.73,29.61,19.87,63.10,34.09,49.47,27.92,98.36,27.91,26.14,46.06,20.33,20.91,27.63,50.72,83.69,21.33
Seq_3586,10.97,129.30,28.89,37.83,38.37,15.82,122.42,71.86,83.24,20.76,38.85,76.13,33.89,101.79,17.95,29.48,39.35,17.50,143.34,61.13
Seq_3587,26.28,138.74,17.85,40.57,51.61,32.97,71.11,16.84,32.28,25.77,54.49,42.88,32.43,62.66,46.65,42.80,31.63,22.54,241.95,69.66
Seq_3588,30.96,78.16,22.90,38.20,40.00,42.71,125.82,37.00,20.93,12.68,115.90,38.10,33.56,39.76,30.57,20.40,42.24,19.34,88.83,73.69
Seq_3589,22.51,87.91,22.27,32.39,30.63,25.46,42.55,37.92,17.31,18.19,80.22,28.48,23.04,61.38,39.98,25.93,26.38,21.69,103.89,37.43
Seq_3590,17.78,111.17,22.19,24.78,39.21,35.59,161.05,16.31,16.28,17.65,115.60,25.27,42.84,55.88,55.93,28.19,25.20,22.92,101.22,64.36
Seq_3591,12.92,109.58,43.41,19.49,54.86,25.99,88.32,33.48,55.71,14.57,113.54,61.65,25.52,21.49,18.79,32.70,59.99,27.91,50.25,159.06
Seq_3592,16.45,92.41,22.55,23.81,41.12,21.60,128.87,23.52,29.46,22.15,31.59,70.85,38.97,57.52,34.76,25.37,45.55,32.17,190.82,49.49
Seq_3593,42.42,207.16,28.22,24.38,52.76,44.35,72.61,35.39,27.21,16.40,75.11,38.87,31.39,43.86,32.83,35.64,30.44,29.45,143.02,139.09
Seq_3594,20.45,233.16,19.51,34.25,33.31,14.71,77.17,78.58,37.86,23.07,51.63,60.48,68.07,166.46,32.76,25.44,28.68,18.24,138.48,41.80
Seq_3595,25.92,63.01,37.69,21.35,59.35,12.82,41.04,24.73,31.84,22.47,126.01,67.79,25.68,36.57,19.52,15.99,25.71,18.49,63.01,19.86
Seq_3596,28.38,68.67,17.89,29.50,16.86,66.62,46.94,26.04,34.40,15.39,43.19,38.18,23.98,33.50,41.23,22.55,33.13,20.51,63.69,32.53
Seq_3597,41.78,70.39,31.44,33.08,44.33,29.91,54.16,45.59,26.87,25.04,93.23,72.62,22.18,38.45,69.88,20.66,25.60,47.11,83.54,42.00
Seq_3598,31.62,98.62,37.18,30.80,50.40,33.53,103.23,25.61,37.78,14.86,64.52,38.38,60.54,72.91,30.82,22.77,44.90,30.61,88.32,44.32
Seq_3599,26.69,85.99,33.02,35.18,62.82,35.66,63.00,55.82,48.34,20.64,80.69,90.82,28.76,25.10,19.48,35.24,30.06,25.42,169.70,38.74
Seq_3600,43.73,205.01,53.80,15.40,103.33,25.71,85.89,37.27,49.64,14.24,248.08,90.77,38.22,151.39,13.29,34.40,39.68,15.93,185.34,39.07
Seq_3601,12.77,0.00,34.17,28.47,103.61,34.90,141.19,31.57,54.52,22.99,54.92,35.64,190.62,26.12,28.18,24.61,42.25,28.91,230.80,166.02
Seq_3602,20.64,367.01,32.71,20.94,46.51,23.86,65.12,31.76,61.68,15.84,74.41,56.25,48.59,49.09,23.96,28.92,40.93,19.85,84.48,64.32
Seq_3603,12.40,25.30,28.11,31.35,18.00,7.44,0.00,13.58,0.00,4.30,35.03,0.00,16.47,21.89,25.30,0.00,11.83,8.85,0.00,19.37
Seq_3604,26.56,77.08,33.05,35.06,54.69,28.08,62.38,62.82,62.83,16.55,120.02,68.50,30.52,47.48,27.05,15.56,43.90,24.79,73.08,124.72
Seq_3605,17.60,0.00,32.03,26.83,16.68,37.90,30.92,28.57,21.50,10.51,32.68,38.28,28.61,84.05,26.33,22.05,51.03,15.68,73.13,75.04
Seq_3606,19.35,0.00,24.44,23.26,37.17,21.51,166.63,28.68,40.63,13.32,58.59,34.54,40.36,36.05,45.12,32.84,33.57,25.14,84.17,37.27
Seq_3607,39.13,106.26,28.94,22.45,33.76,50.33,61.05,42.52,68.44,13.03,65.01,95.06,40.07,24.31,17.93,31.19,39.58,31.13,58.11,53.57
Seq_3608,51.62,25.25,27.93,37.91,68.47,28.97,45.15,20.21,33.24,18.49,79.52,25.62,46.14,49.94,55.14,28.12,34.92,19.76,78.84,89.36
Seq_3609,31.50,164.86,65.62,35.11,61.76,27.63,93.02,46.40,100.18,14.75,58.35,50.19,16.05,109.22,75.81,14.33,43.10,26.47,188.41,163.26
Seq_3610,23.13,123.28,24.27,29.29,33.83,29.46,67.06,35.71,33.19,34.90,65.29,46.78,35.92,49.31,33.47,37.58,33.20,19.65,255.68,60.44
Seq_3611,34.05,21.32,27.76,42.57,51.47,17.14,67.45,32.39,20.60,21.46,49.77,34.66,28.77,61.23,21.32,33.27,24.50,28.47,65.55,21.29
Seq_3612,12.15,0.00,60.02,13.59,50.62,26.88,80.68,24.18,10.08,10.98,147.01,37.52,38.75,27.65,36.68,72.20,29.09,41.45,0.00,75.03
Seq_3613,11.02,104.99,23.17,35.81,30.96,23.53,79.78,47.64,96.37,17.59,58.38,61.17,45.52,40.09,28.71,33.05,40.80,18.84,127.67,82.94
Seq_3614,38.41,94.54,55.34,25.82,82.57,59.74,101.60,43.59,21.61,16.74,84.27,62.90,35.75,59.59,45.16,15.85,22.87,37.53,121.56,51.96
Seq_3615,17.60,342.63,45.74,15.32,35.19,20.61,42.50,33.87,39.74,14.55,67.81,77.84,27.64,65.75,22.80,32.18,53.11,33.68,183.46,36.27
Seq_3616,38.05,85.96,39.00,19.56,68.32,20.09,43.31,38.09,25.85,12.37,107.57,45.76,40.63,108.89,52.86,30.28,46.11,15.86,187.62,33.57
Seq_3617,32.78,146.17,49.23,30.01,33.61,27.67,80.50,43.01,48.49,18.27,123.59,35.30,35.54,34.62,31.17,26.56,26.66,23.88,250.25,73.68
Seq_3618,18.42,16.34,41.59,15.26,33.12,12.40,17.64,0.00,10.25,26.80,48.07,42.60,16.54,0.00,27.57,16.55,24.91,49.01,43.35,26.53
Seq_3619,25.06,343.34,32.01,17.27,32.15,36.68,75.06,18.88,20.29,25.95,57.14,49.82,61.69,86.37,34.48,52.05,41.78,33.27,79.40,46.36
Seq_3620,18.49,84.71,27.01,27.92,72.18,15.12,76.93,24.41,29.30,23.61,62.40,51.85,36.89,34.35,38.62,24.65,31.58,21.91,178.81,55.96
Seq_3621,27.85,300.39,27.53,19.75,37.46,21.20,99.82,26.08,41.57,19.33,40.58,58.12,34.60,41.94,20.88,43.83,46.87,14.46,352.49,63.53
Seq_3622,29.08,50.53,36.83,20.91,33.92,24.27,83.85,20.43,45.24,19.83,44.80,33.85,34.44,60.31,42.66,21.40,37.55,23.61,103.22,38.07
Seq_3623,37.88,92.08,31.82,17.38,42.53,34.54,38.07,21.48,27.60,18.12,63.78,42.62,49.68,26.75,32.18,41.74,33.81,15.54,0.00,65.18
Seq_3624,16.09,286.09,29.99,24.19,39.13,17.66,48.21,19.83,32.52,19.89,68.05,76.90,69.68,63.42,33.86,17.46,30.32,38.57,121.05,104.22
Seq_3625,13.13,94.57,23.58,24.46,51.76,32.47,88.05,72.68,42.37,11.47,63.96,53.55,61.67,39.35,27.09,23.65,50.05,42.66,75.40,28.27
Seq_3626,36.27,43.18,18.12,18.34,31.99,29.03,81.80,28.42,23.12,24.56,52.40,37.95,31.29,45.34,39.51,44.11,22.49,18.28,71.28,51.04
Seq_3627,65.51,38.50,20.78,28.93,28.62,38.36,68.66,20.24,21.41,37.31,58.55,20.93,57.99,87.06,21.14,38.68,22.93,17.75,61.56,26.76
Seq_3628,37.09,75.76,37.42,24.02,21.63,56.73,42.12,21.57,7.64,23.10,52.98,49.82,36.23,62.70,15.96,18.68,21.18,13.10,0.00,44.48
Seq_3629,16.18,79.74,40.15,30.65,48.49,15.24,54.45,30.97,21.02,13.71,166.01,41.30,23.68,21.36,18.78,34.78,33.09,30.61,57.79,33.38
Seq_3630,12.81,51.87,39.25,40.27,30.75,15.07,40.15,29.30,11.69,17.16,141.01,24.47,28.14,48.24,31.01,40.47,46.60,25.70,105.47,84.46
Seq_3631,24.73,207.53,22.24,39.97,49.31,13.13,45.71,34.94,28.29,22.95,94.48,28.05,31.01,43.11,62.26,38.12,23.69,44.36,49.65,29.75
Seq_3632,14.06,352.62,21.62,37.46,34.63,22.50,320.79,28.53,25.11,26.77,85.49,24.31,42.78,67.38,127.22,23.99,29.86,26.21,70.72,59.14
Seq_3633,30.43,108.43,29.63,28.05,39.88,34.25,97.11,19.16,16.98,14.01,109.04,33.66,27.84,66.92,28.57,17.90,67.23,46.41,86.02,34.19
Seq_3634,11.76,125.23,29.20,60.09,43.92,31.81,37.50,22.18,140.51,20.09,102.65,42.61,26.34,20.47,46.89,30.99,18.37,24.00,57.42,30.11
Seq_3635,18.99,77.77,40.80,20.67,25.43,16.70,56.82,14.48,58.30,15.37,32.44,35.64,32.82,26.12,16.83,25.34,26.43,17.28,128.04,47.42
Seq_3636,28.79,242.13,47.23,29.48,166.21,34.37,71.95,67.71,49.64,26.74,169.95,193.65,23.82,60.05,34.22,23.30,47.14,46.80,477.26,139.96
Seq_3637,14.98,20.74,17.98,69.97,71.03,21.19,115.34,42.96,27.15,25.57,94.01,21.71,36.19,35.98,17.35,20.67,36.67,24.99,34.55,34.03
Seq_3638,24.31,65.69,28.91,41.67,37.16,29.40,114.89,50.73,39.02,17.25,54.08,46.36,60.52,43.50,41.84,22.95,24.30,45.88,125.62,40.78
Seq_3639,50.12,247.41,24.22,31.03,63.89,54.00,58.04,18.56,23.86,15.06,53.01,59.19,54.49,25.25,41.60,32.75,42.11,21.44,226.73,80.02
Seq_3640,26.83,53.15,36.62,19.04,26.98,25.30,40.74,62.86,44.55,9.65,49.89,55.26,35.97,66.26,17.11,13.99,29.68,24.24,97.38,33.86
Seq_3641,10.99,82.00,26.79,35.82,28.71,20.04,15.94,29.04,16.82,13.97,91.08,45.45,34.27,38.99,49.04,25.49,48.06,25.13,0.00,72.89
Seq_3642,27.69,60.80,36.18,22.62,48.31,27.35,71.47,40.07,32.85,15.56,73.56,91.49,38.78,31.87,27.02,26.38,66.21,23.33,146.80,62.14
Seq_3643,17.98,52.09,24.19,24.39,48.00,23.81,70.65,38.74,29.63,19.50,58.16,32.91,39.52,27.01,30.87,18.35,24.61,26.04,54.83,76.06
Seq_3644,15.47,60.83,22.75,35.95,30.00,15.65,93.66,25.64,55.40,27.19,47.25,53.70,47.52,32.06,23.74,21.20,32.54,20.98,97.38,43.02
Seq_3645,15.40,207.95,15.56,30.30,49.29,15.54,154.10,22.14,22.05,22.11,92.08,51.06,34.80,44.31,43.20,26.00,32.62,25.14,163.39,39.47
Seq_3646,47.36,180.79,61.32,19.52,50.26,55.03,91.12,46.55,18.31,29.40,53.01,52.40,36.25,44.02,39.74,34.44,23.22,83.12,0.00,109.80
Seq_3647,25.48,95.45,32.70,37.28,41.14,22.25,89.39,22.14,31.30,25.33,70.03,23.32,81.69,36.72,29.26,24.88,30.19,46.25,98.90,51.66
Seq_3648,20.96,109.86,17.60,19.15,36.47,17.48,57.04,34.26,84.24,17.92,46.39,115.80,25.81,34.06,44.98,22.82,37.15,12.72,29.73,42.13
Seq_3649,40.06,40.40,32.07,23.52,40.42,16.64,61.81,20.50,33.59,16.82,85.75,38.12,71.13,97.58,30.99,21.78,34.10,26.18,0.00,47.33
Seq_3650,8.01,75.03,31.14,24.16,20.60,12.80,48.54,81.08,15.93,18.99,37.02,34.70,57.48,38.50,79.80,20.78,28.45,22.13,41.91,104.08
Seq_3651,29.77,0.00,26.75,16.13,27.10,11.84,48.21,16.96,15.43,11.34,32.75,21.80,25.31,0.00,39.03,25.99,44.99,39.78,0.00,48.61
Seq_3652,12.70,0.00,23.38,14.70,21.24,11.78,20.59,12.29,15.63,20.08,72.01,45.40,0.00,32.00,19.30,19.35,14.12,12.93,0.00,47.21
Seq_3653,20.21,140.11,22.77,32.30,40.69,20.40,54.27,38.82,34.36,13.30,65.65,46.27,26.82,32.90,30.21,31.09,24.83,30.90,154.93,77.11
Seq_3654,18.28,0.00,26.82,36.51,51.97,13.14,66.35,48.04,63.64,13.13,105.11,48.64,76.30,38.49,19.58,18.55,52.51,40.49,94.47,46.05
Seq_3655,18.23,63.36,23.63,28.09,32.43,24.20,59.83,25.97,33.40,22.02,65.07,21.16,71.53,64.79,30.42,24.33,29.62,26.34,52.47,42.73
Seq_3656,20.49,68.37,22.08,25.41,59.64,7.71,19.23,49.60,24.62,28.71,86.48,18.21,56.25,64.09,50.77,24.16,20.49,17.45,0.00,80.22
Seq_3657,14.86,0.00,35.35,35.83,22.75,18.69,54.92,35.71,27.28,20.79,68.64,30.58,46.63,39.41,39.68,49.19,29.82,24.25,168.03,86.79
Seq_3658,27.99,155.63,36.85,27.78,169.48,12.30,47.70,27.35,19.20,50.73,126.01,35.91,25.39,77.81,14.49,44.24,28.27,21.27,159.72,71.05
Seq_3659,14.83,153.13,36.74,54.89,50.14,14.09,90.16,32.43,49.33,24.17,119.31,25.20,58.70,27.87,86.48,21.37,14.47,20.32,38.19,24.72
Seq_3660,44.99,42.80,41.25,19.02,64.54,24.93,49.45,70.85,31.86,24.75,54.51,33.07,150.97,32.87,14.35,16.73,45.04,31.73,0.00,49.25
Seq_3661,12.00,0.00,11.06,12.04,26.80,24.17,41.36,25.32,8.96,15.37,20.89,30.85,31.41,43.17,42.51,28.19,18.70,27.69,44.34,30.63
Seq_3662,16.81,280.57,17.96,43.36,32.14,21.23,40.32,54.57,122.74,15.97,177.36,74.69,23.77,52.43,15.12,40.15,24.69,22.47,93.91,72.86
Seq_3663,33.08,43.15,32.84,54.25,52.05,27.20,47.12,50.23,37.90,22.56,92.07,50.02,27.74,42.86,38.71,14.86,12.83,19.69,42.47,64.62
Seq_3664,15.86,194.64,40.74,32.85,24.09,28.59,60.46,32.01,37.39,21.78,66.83,44.46,25.08,56.66,42.80,36.45,27.65,23.27,45.15,102.17
Seq_3665,19.96,145.71,27.41,29.28,72.52,25.57,82.85,25.85,53.33,17.21,79.09,24.42,37.62,31.70,29.58,35.36,43.87,25.60,94.77,54.90
Seq_3666,21.45,76.39,28.40,23.60,32.91,31.32,89.02,39.78,27.14,19.43,32.71,54.17,58.88,67.72,43.96,17.12,34.76,25.36,0.00,60.31
Seq_3667,28.12,141.73,32.17,26.36,110.59,36.90,64.94,31.50,31.43,19.10,78.45,75.11,56.07,49.94,50.26,29.58,44.68,19.57,141.94,98.72
Seq_3668,27.08,328.81,26.99,24.45,30.85,35.65,57.28,32.23,23.12,16.99,56.71,38.39,33.87,61.21,51.96,32.94,58.69,26.79,133.04,65.59
Seq_3669,21.06,127.57,27.92,31.96,51.08,19.77,35.18,39.25,26.39,19.26,68.38,46.86,45.88,63.41,40.47,19.04,22.59,19.14,74.88,108.64
Seq_3670,13.60,48.01,18.43,28.44,81.03,22.08,81.58,34.66,121.16,20.41,62.68,92.85,30.88,35.17,22.35,33.43,40.19,21.43,53.81,67.27
Seq_3671,27.43,81.31,28.52,22.32,46.33,52.48,99.73,27.84,20.47,13.64,95.65,40.00,123.92,47.22,66.75,33.20,51.20,38.29,152.81,31.46
Seq_3672,29.82,140.37,36.29,26.28,49.45,28.81,69.68,24.30,30.40,17.34,44.42,49.06,31.96,51.11,73.15,34.46,40.16,19.57,148.47,34.55
Seq_3673,14.04,35.92,41.20,17.77,60.26,36.35,102.14,49.74,21.56,21.23,30.98,86.05,55.50,31.14,24.49,33.25,21.08,22.13,109.47,47.17
Seq_3674,16.07,0.00,45.09,0.00,35.40,33.02,28.77,9.37,34.87,11.83,55.02,20.18,14.28,0.00,0.00,27.31,21.62,11.76,13.46,42.98
Seq_3675,25.55,127.00,29.26,51.39,48.03,27.76,91.67,36.63,42.76,18.69,55.16,54.52,35.44,54.41,40.79,19.70,39.81,29.99,96.12,48.41
Seq_3676,16.59,106.43,41.92,42.04,96.43,25.47,90.80,35.31,58.31,16.41,82.06,41.24,33.08,21.24,25.98,19.19,32.53,18.97,166.92,67.12
Seq_3677,22.70,121.72,25.46,27.20,32.90,28.95,55.37,41.70,38.13,20.67,53.29,30.64,37.32,34.75,31.35,36.36,34.25,36.52,38.23,40.68
Seq_3678,24.85,60.17,41.90,77.85,56.31,11.88,69.56,24.05,142.09,68.71,87.89,43.36,21.75,62.47,51.19,17.66,12.83,31.29,64.37,47.07
Seq_3679,35.70,145.01,41.57,32.40,36.84,26.85,66.49,35.28,72.27,16.11,87.13,56.52,39.95,38.65,48.00,27.90,48.04,26.70,201.08,61.79
Seq_3680,27.97,0.00,15.75,13.51,47.65,18.64,84.91,13.21,14.85,13.46,35.42,35.24,38.17,34.99,24.07,75.66,26.81,20.60,0.00,37.11
Seq_3681,42.86,71.38,22.95,27.21,31.45,10.97,44.36,29.13,19.74,22.56,35.48,42.22,21.68,26.88,22.21,25.14,26.05,20.55,53.56,38.78
Seq_3682,28.78,0.00,32.77,16.58,16.44,20.85,0.00,16.96,11.30,17.12,34.17,30.91,13.46,17.74,28.85,13.75,0.00,17.42,39.09,72.17
Seq_3683,31.31,0.00,41.98,24.06,43.74,30.12,73.64,22.28,11.26,26.54,59.61,21.42,23.29,109.90,15.67,51.37,25.30,15.59,63.10,36.20
Seq_3684,13.62,133.63,43.82,28.10,49.75,17.24,36.89,38.27,38.41,15.49,47.45,171.71,18.95,56.18,29.83,31.00,26.67,21.59,79.80,97.51
Seq_3685,20.76,150.19,25.40,17.65,46.03,39.00,62.06,23.18,26.38,18.98,54.23,35.35,53.83,33.80,25.90,48.88,34.43,40.98,89.65,65.25
Seq_3686,31.49,247.72,18.96,28.26,75.61,20.70,43.89,28.67,44.59,15.27,85.27,25.94,77.17,40.48,36.40,39.39,27.35,26.89,60.82,35.67
Seq_3687,13.93,145.46,25.64,30.59,39.52,28.17,35.09,63.05,29.09,14.97,75.28,106.75,40.32,41.64,51.15,35.08,33.99,18.51,120.99,52.71
Seq_3688,20.03,134.26,40.83,42.43,37.53,17.68,69.87,27.29,24.29,21.43,93.99,42.22,74.86,54.38,48.17,25.69,43.66,28.39,128.38,61.83
Seq_3689,39.30,152.64,23.16,23.40,30.82,31.40,52.87,29.88,17.95,23.80,82.10,36.19,22.93,32.83,38.78,30.02,37.17,35.07,110.65,56.02
Seq_3690,32.02,193.51,24.39,25.04,33.28,25.05,51.35,36.11,33.14,26.00,52.46,30.44,28.62,43.04,22.69,28.39,33.16,29.87,149.08,29.66
Seq_3691,11.05,59.05,21.18,36.32,34.11,28.51,39.07,33.88,64.30,14.77,34.59,82.83,22.62,48.24,26.43,19.34,54.58,18.03,43.54,68.55
Seq_3692,21.34,47.96,42.73,19.04,26.98,39.48,40.74,62.86,43.25,9.65,49.89,55.26,35.83,58.44,19.62,17.74,33.02,24.27,97.38,33.86
Seq_3693,27.33,106.06,32.78,28.08,58.41,33.24,93.42,26.87,23.47,14.67,45.98,29.91,39.49,49.72,39.05,27.04,27.67,38.33,122.51,32.85
Seq_3694,16.14,53.78,70.15,14.09,55.86,18.93,29.67,50.93,84.33,17.73,61.57,118.59,31.08,127.44,22.56,26.23,18.70,10.35,46.15,57.54
Seq_3695,17.06,84.50,51.94,65.77,21.49,15.36,76.62,27.12,52.00,19.47,37.45,55.87,75.47,108.88,76.56,32.10,33.33,13.02,62.14,56.05
Seq_3696,22.24,151.86,71.86,69.74,27.03,17.68,82.83,29.33,70.33,10.38,33.78,56.46,28.26,56.46,37.77,61.08,24.90,30.74,122.57,80.08
Seq_3697,25.20,89.81,28.21,28.90,56.02,17.60,43.36,26.40,27.85,23.41,226.16,48.00,26.12,69.38,52.43,36.37,29.34,31.25,108.14,57.14
Seq_3698,23.30,82.41,43.80,24.55,67.98,45.80,62.74,48.35,33.15,18.39,83.32,49.88,37.64,54.87,25.92,41.58,67.17,34.44,141.13,109.09
Seq_3699,22.74,161.75,18.90,33.41,52.29,17.64,51.55,38.16,152.33,22.16,60.28,90.32,35.41,94.36,30.78,24.88,39.22,16.44,119.70,144.33
Seq_3700,48.63,105.86,46.99,14.60,92.52,34.31,81.53,28.19,14.36,18.52,61.17,25.93,50.97,55.55,81.93,24.25,42.30,25.21,224.59,40.07
Seq_3701,28.82,97.56,45.16,16.57,127.99,44.38,91.95,58.55,34.11,26.01,84.44,55.44,44.04,21.51,36.42,28.31,38.79,22.50,0.00,160.36
Seq_3702,17.30,217.11,38.33,27.53,41.34,23.95,75.13,26.62,19.44,19.04,79.98,25.10,42.17,45.12,167.65,22.54,39.12,24.07,218.09,73.14
Seq_3703,49.17,25.80,17.20,16.98,22.68,26.05,33.52,45.69,16.28,13.91,86.87,27.55,43.52,27.96,24.40,24.00,36.63,46.36,24.74,17.59
Seq_3704,20.08,99.96,29.35,22.13,38.28,21.75,101.90,31.12,36.65,15.49,41.77,34.37,29.34,119.82,36.52,35.07,29.88,17.66,199.81,48.30
Seq_3705,12.03,34.79,43.34,16.51,35.99,24.77,55.56,30.66,24.64,11.16,65.09,36.16,60.63,48.51,54.24,31.24,67.21,23.62,0.00,92.61
Seq_3706,10.00,183.70,22.87,61.88,83.95,24.58,56.31,21.66,44.92,14.56,121.98,47.16,60.12,17.87,33.88,29.03,33.72,31.13,67.53,111.79
Seq_3707,13.99,102.25,44.27,22.06,33.33,16.39,59.39,22.22,37.27,19.49,87.50,50.28,34.31,39.68,55.11,33.72,28.62,25.38,244.35,105.34
Seq_3708,20.28,341.84,48.45,15.55,43.11,18.79,94.61,47.45,24.97,13.78,133.85,55.56,40.56,59.51,29.13,43.69,49.58,23.91,356.01,55.67
Seq_3709,39.18,0.00,27.63,72.63,16.15,27.96,0.00,15.60,37.85,8.93,32.99,25.43,30.01,40.27,21.99,21.64,21.40,11.89,42.09,21.23
Seq_3710,36.64,0.00,20.56,39.31,36.36,39.16,72.07,46.78,17.73,29.73,79.58,18.89,60.80,72.03,80.79,23.17,21.62,33.96,98.41,49.15
Seq_3711,25.90,0.00,34.85,23.48,85.52,32.84,150.46,14.71,12.52,19.77,58.08,37.84,71.05,133.65,32.21,48.46,24.88,20.23,221.65,40.88
Seq_3712,45.17,0.00,24.98,21.28,42.51,17.92,108.39,18.94,23.52,14.97,302.00,31.14,49.00,47.41,39.83,26.88,33.41,27.97,112.03,33.02
Seq_3713,15.93,367.46,34.44,28.98,64.35,21.45,80.73,59.25,74.39,17.09,79.23,73.46,25.59,42.52,22.94,33.58,36.18,21.40,299.40,82.11
Seq_3714,11.56,0.00,30.04,47.87,48.33,13.86,84.99,27.71,59.54,23.34,64.67,70.67,40.34,50.84,27.64,38.17,39.31,21.69,152.25,42.24
Seq_3715,27.35,120.13,32.52,27.05,57.42,22.63,59.92,44.78,40.79,14.31,104.23,69.61,28.99,33.73,18.73,30.81,33.54,35.58,165.67,46.78
Seq_3716,18.71,335.74,47.15,25.39,70.92,26.49,42.07,30.05,33.12,17.80,46.04,38.49,63.76,60.14,34.39,43.68,27.85,31.15,213.11,33.68
Seq_3717,16.67,115.21,33.25,31.95,43.39,19.62,38.56,44.77,51.18,14.70,59.04,34.22,61.68,38.52,56.26,21.14,32.60,26.01,73.89,61.32
Seq_3718,39.38,126.93,26.69,51.57,58.72,16.52,126.67,31.06,25.31,25.24,121.17,23.74,70.89,46.24,40.27,16.63,33.75,28.14,64.05,32.53
Seq_3719,20.64,136.39,30.26,14.32,29.19,29.95,71.53,22.25,34.02,11.53,34.67,51.61,60.71,48.90,14.25,47.81,24.39,39.14,194.68,72.16
Seq_3720,22.05,85.48,20.90,24.55,30.59,21.64,54.49,22.41,44.57,20.90,63.33,53.27,37.25,51.97,34.48,28.07,58.26,28.67,72.31,55.78
Seq_3721,32.63,25.25,27.36,41.51,40.47,29.06,40.00,18.80,34.57,25.02,79.52,25.35,28.78,47.11,46.54,36.04,34.91,19.13,78.84,90.98
Seq_3722,17.11,72.02,29.70,23.70,50.62,24.98,39.81,47.26,90.21,23.00,76.56,54.84,36.01,47.60,20.21,33.43,41.89,20.06,84.65,51.59
Seq_3723,23.53,94.34,37.91,40.61,24.87,16.02,107.52,53.61,55.25,16.01,100.92,35.35,19.87,55.77,39.05,40.45,24.75,32.08,35.34,90.28
Seq_3724,29.71,571.30,22.40,46.14,29.96,18.19,110.77,31.63,50.17,40.53,72.41,20.53,45.23,35.69,65.54,26.24,28.15,25.77,71.90,32.03
Seq_3725,48.32,71.48,29.91,31.55,33.93,28.64,51.50,50.33,29.15,20.21,86.76,34.44,31.55,64.44,28.13,32.98,32.67,26.36,110.52,38.76
Seq_3726,20.00,37.10,33.07,14.35,24.26,19.76,21.94,36.58,26.36,26.57,30.66,53.42,27.69,28.12,19.88,26.19,46.88,15.15,49.18,19.91
Seq_3727,14.57,22.81,27.94,16.71,20.79,20.02,37.96,26.44,11.85,15.21,0.00,33.46,47.47,59.78,41.29,19.93,48.29,48.94,0.00,40.32
Seq_3728,14.40,65.00,28.10,29.02,58.07,14.17,58.14,19.08,20.54,22.86,47.47,35.86,99.01,48.78,38.38,27.37,22.23,20.95,139.25,110.20
Seq_3729,14.74,51.21,24.77,21.88,31.44,17.30,94.75,33.47,27.14,15.87,54.33,37.20,36.82,134.37,37.89,57.04,67.36,32.40,114.04,54.38
Seq_3730,13.72,156.16,29.81,17.41,29.46,22.99,64.91,30.67,30.92,16.11,101.15,63.33,20.78,71.22,27.97,25.21,33.88,18.06,50.98,73.50
Seq_3731,17.94,176.08,21.91,26.01,34.03,28.58,39.93,68.18,46.59,11.66,106.15,84.81,20.71,53.80,28.12,40.53,44.15,29.44,72.41,28.33
Seq_3732,33.94,0.00,31.98,14.54,32.77,37.63,64.94,22.76,36.72,15.50,79.54,85.94,27.84,101.09,27.02,39.95,59.67,33.41,64.06,39.83
Seq_3733,16.17,220.79,16.27,29.34,61.51,23.09,113.25,56.50,24.01,20.08,58.62,24.43,31.37,61.60,80.73,22.52,33.44,26.59,80.26,58.62
Seq_3734,20.75,103.79,34.76,27.58,27.77,43.27,176.80,32.66,27.60,15.50,84.33,71.27,25.67,43.58,37.44,25.52,39.53,16.47,0.00,36.13
Seq_3735,26.63,0.00,28.89,16.88,42.54,22.01,54.22,17.77,13.78,18.90,117.93,29.69,24.19,153.03,131.32,29.05,20.11,23.18,0.00,38.40
Seq_3736,22.19,20.43,16.24,12.83,58.94,55.19,36.83,33.80,27.72,22.86,63.30,44.96,31.43,19.95,22.72,33.96,33.85,24.32,119.10,32.50
Seq_3737,41.65,0.00,30.12,15.14,30.56,19.64,62.94,26.04,12.29,11.16,34.68,40.67,37.74,97.13,25.18,23.11,56.21,43.88,0.00,33.23
Seq_3738,33.06,49.19,26.22,42.07,59.31,31.60,76.01,26.83,50.55,34.49,91.60,49.54,37.07,39.97,34.41,20.94,44.74,19.74,104.46,72.58
Seq_3739,30.52,350.32,23.40,21.24,57.02,29.54,61.38,20.28,27.96,32.78,337.24,29.56,45.03,72.36,31.00,24.70,30.61,27.96,326.63,46.09
Seq_3740,22.58,690.04,32.41,15.60,227.20,160.83,387.39,134.60,16.15,96.17,120.90,123.14,21.78,34.66,174.67,25.84,23.87,44.39,288.69,225.96
